,ordinate,abscissa
120,534.7470636728535,120
121,539.1062065575445,121
122,536.341885137301,122
123,543.997986122879,123
124,524.0783182662972,124
125,531.7953968826213,125
126,534.2927598224453,126
127,532.4106043224009,127
128,523.8725644364491,128
129,528.6900288790692,129
130,527.5304566295234,130
131,522.4885753636082,131
132,530.5015374290764,132
133,531.3333769964712,133
134,524.5435122219195,134
135,530.6109872026927,135
136,530.637786262858,136
137,502.6561213515203,137
138,509.6444626335855,138
139,504.8756798083139,139
140,518.8503832073134,140
141,503.7084980662051,141
142,514.252150732849,142
143,505.65520219501707,143
144,508.5100637318111,144
145,510.3988058190217,145
146,523.2087074231574,146
147,474.2932761980775,147
148,487.9322318399865,148
149,493.90536479848737,149
150,505.6986221836876,150
151,491.6969896653606,151
152,497.0342868544145,152
153,503.0213819518841,153
154,501.8329926903902,154
155,497.45056364437716,155
156,499.71481640761544,156
157,498.06636754889206,157
158,510.4698807750606,158
159,501.82246885111454,159
160,500.74549262883136,160
161,505.57379533264555,161
162,503.45883714142724,162
163,504.6273221874335,163
164,495.6077984974708,164
165,495.9302841821091,165
166,501.551004325527,166
167,503.58579666046234,167
168,514.2070622403453,168
169,517.3109254547495,169
170,514.2889115063006,170
171,508.9080066722128,171
172,515.4348650567537,172
173,506.38051067526635,173
174,500.461889166847,174
175,511.8763527432385,175
176,500.6277290168929,176
177,501.4732317380633,177
178,516.1337704680814,178
179,507.7703068653137,179
180,495.613629502225,180
181,509.76909027623947,181
182,503.82263180470846,182
183,504.61568847756973,183
184,507.22066961748624,184
185,507.25518685817843,185
186,531.6607278347338,186
187,506.5849688838403,187
188,491.29669715479264,188
189,527.9679209576658,189
190,527.032508257719,190
191,514.1700646812917,191
192,516.5979918443987,192
193,524.9195476943942,193
194,514.7650268195271,194
195,517.7980360658956,195
196,513.4180026282268,196
197,519.9762572347367,197
198,517.5252792612049,198
199,527.1547113915569,199
200,522.0201400411352,200
201,515.8785779250292,201
202,519.3246771290961,202
203,512.1047775742575,203
204,507.68284503978856,204
205,515.3213773396817,205
206,520.0732829275053,206
207,522.0293437970553,207
208,517.7875770170765,208
209,521.915660050164,209
210,514.6349758526015,210
211,521.3616866373922,211
212,513.3536223285652,212
213,515.916970761897,213
214,516.2271387533011,214
215,524.3677045224982,215
216,520.693822866034,216
217,532.87487327049,217
218,533.8944213314812,218
219,536.5556943265663,219
220,517.2047867259583,220
221,527.4108399828042,221
222,518.7512305460286,222
223,529.7461654469954,223
224,525.3852389211676,224
225,521.4997330511441,225
226,519.6811512884457,226
227,521.2069685926106,227
228,514.9199043259918,228
229,520.3410662530961,229
230,530.4525176015202,230
231,501.4107485548569,231
232,514.1766380411382,232
233,517.7854510182292,233
234,524.5981793417262,234
235,512.209135127101,235
236,570.8944426713488,236
237,594.4740793125732,237
238,584.3325962133107,238
239,570.9082523559641,239
240,566.675891936955,240
241,567.4230049755186,241
242,566.4747621105189,242
243,553.6977948142932,243
244,551.485064616932,244
245,541.6791249334478,245
246,546.5063368876257,246
247,531.6947833247324,247
248,543.6401490432484,248
249,531.9180466693142,249
250,538.3459897741714,250
251,539.48699309187,251
252,536.0712530636639,252
253,545.8893177603869,253
254,533.4332229375891,254
255,540.8030749388552,255
256,536.4665537251136,256
257,532.0189474443433,257
258,522.9798194468968,258
259,527.361365070205,259
260,539.6139423741222,260
261,542.1523293289563,261
262,541.841049277102,262
263,544.6733373241366,263
264,541.1866275219993,264
265,574.5414919823654,265
266,548.5985205912185,266
267,539.6309674266067,267
268,545.5818783364547,268
269,553.1862546341362,269
270,549.8098050173219,270
271,551.6344967259076,271
272,548.9623008349315,272
273,549.64197319803,273
274,550.0363013492034,274
275,558.2937334963538,275
276,551.7209998262095,276
277,563.046630661086,277
278,552.7483497305597,278
279,557.0883535755057,279
280,563.1977354892973,280
281,565.0269118183767,281
282,554.0984911283153,282
283,540.1532458282774,283
284,548.9788522224367,284
285,550.9469385457138,285
286,542.1636418418858,286
287,552.2656229977185,287
288,536.531047176031,288
289,548.7225734125198,289
290,544.1485556460248,290
291,559.083882157611,291
292,543.8722165222919,292
293,562.2540481050736,293
294,582.947736438401,294
295,542.7387355479317,295
296,529.4885601789814,296
297,535.7860520642423,297
298,592.413292921277,298
299,550.001990614864,299
300,580.9954808570459,300
301,561.836127234337,301
302,551.6897828325029,302
303,542.8582721411217,303
304,548.2909185963391,304
305,551.3937910385703,305
306,555.1764679725347,306
307,542.1825650511173,307
308,556.7146101739646,308
309,554.7886223393812,309
310,548.5819119965123,310
311,543.4432417259692,311
312,539.2592431778664,312
313,542.7978092030788,313
314,560.0849182818214,314
315,562.5135995763555,315
316,558.4963300158068,316
317,561.9584210006541,317
318,544.7453537856768,318
319,550.5049281270549,319
320,558.2940769895661,320
321,565.5340288218766,321
322,578.6200925755335,322
323,553.6530931670097,323
324,567.7364942460632,324
325,561.2764617650744,325
326,556.4384288089999,326
327,554.1533440402472,327
328,559.981119855854,328
329,557.1886344905433,329
330,560.0228138729325,330
331,561.7514076001241,331
332,554.1276047521999,332
333,562.7046938471765,333
334,553.7738163123134,334
335,549.3183469761234,335
336,591.2750595209845,336
337,582.7566392595611,337
338,560.509844125552,338
339,557.6638951851604,339
340,555.3332257967809,340
341,564.4511707957923,341
342,559.8983191408644,342
343,566.3981226363987,343
344,561.9675897556856,344
345,555.8448183116875,345
346,553.7966234409482,346
347,562.1006470028476,347
348,578.8092571143903,348
349,591.744490859487,349
350,569.1702087115112,350
